"Cboe Volatility Index (VX) Futures, Includes TAS",,,,,,
VX+VXT17/J9 - 2019-04-24,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change_1,Column7
VX+VXT17/J9 - 2019-04-24,CONTRACT PRICES (US$),12.63,N/A,0.255,0.255,
VX+VXT17/J9 - 2019-04-24,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VX+VXT17/J9 - 2019-04-24,CONTRACT VOLUME,0,0,0,36,36
VX+VXT18/K9 - 2019-05-01,CONTRACT PRICES (US$),Open,High,Low,Close,
VX+VXT18/K9 - 2019-05-01,CONTRACT PRICES (US$),13.05,13.05,13.00a,13.05,
VX+VXT18/K9 - 2019-05-01,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VX+VXT18/K9 - 2019-05-01,CONTRACT PRICES (US$),13.325,N/A,0.650,0.650,
VX+VXT18/K9 - 2019-05-01,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VX+VXT18/K9 - 2019-05-01,CONTRACT VOLUME,11,0,0,98,98
VX+VXT19/K9 - 2019-05-08,CONTRACT PRICES (US$),Open,High,Low,Close,
VX+VXT19/K9 - 2019-05-08,CONTRACT PRICES (US$),13.35,b13.40,13.35,13.35,
VX+VXT19/K9 - 2019-05-08,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VX+VXT19/K9 - 2019-05-08,CONTRACT PRICES (US$),13.60,N/A,0.40,0.40,
VX+VXT19/K9 - 2019-05-08,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VX+VXT19/K9 - 2019-05-08,CONTRACT VOLUME,18,0,0,57,57
VX+VXT20/K9 - 2019-05-15,CONTRACT PRICES (US$),Open,High,Low,Close,
VX+VXT20/K9 - 2019-05-15,CONTRACT PRICES (US$),13.60,13.80,13.55a,13.80,
VX+VXT20/K9 - 2019-05-15,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VX+VXT20/K9 - 2019-05-15,CONTRACT PRICES (US$),14.125,N/A,0.550,0.550,
VX+VXT20/K9 - 2019-05-15,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VX+VXT20/K9 - 2019-05-15,CONTRACT VOLUME,4,0,0,4,4
VX+VXT/K9 - 2019-05-22,CONTRACT PRICES (US$),Open,High,Low,Close,
VX+VXT/K9 - 2019-05-22,CONTRACT PRICES (US$),14.15,14.65,14.13,14.60,
VX+VXT/K9 - 2019-05-22,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VX+VXT/K9 - 2019-05-22,CONTRACT PRICES (US$),14.575,N/A,0.450,0.450,
VX+VXT/K9 - 2019-05-22,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VX+VXT/K9 - 2019-05-22,CONTRACT VOLUME,"99,083",0,0,"242,045",242045
VX+VXT22/K9 - 2019-05-29,CONTRACT PRICES (US$),Open,High,Low,Close,
VX+VXT22/K9 - 2019-05-29,CONTRACT PRICES (US$),0.00,b14.90,15.05a,0.00,
VX+VXT22/K9 - 2019-05-29,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
