Symbol,Leg Symbol,Product,Futures Root,Expire Date,Leg Ratio,Leg Side,Description,Complex,Tick Size,Contract Size,Test Symbol
0000JM,,VA/M9:1:S - VA/Z9:1:B,VA,6/21/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0000JM,16,VA/M9,VA,6/21/2019,1,S,S&P 500 Variance Monthly Jun 2019,FALSE,nickel,1,FALSE
0000JM,00000O,VA/Z9,VA,12/20/2019,1,B,S&P 500 Variance Monthly Dec 2019,FALSE,nickel,1,FALSE
0001id,,ZVA/M9:1:S - ZVA/Z9:1:B,ZVA,6/21/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0001id,0001hy,ZVA/Z9,ZVA,12/20/2019,1,B,ZVA Monthly Dec 2019,FALSE,nickel,1,TRUE
0001id,0001hn,ZVA/M9,ZVA,6/21/2019,1,S,ZVA Monthly Jun 2019,FALSE,nickel,1,TRUE
0001pn,,ZVA/Z9:1:S - ZVA/Z0:1:B,ZVA,12/20/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0001pn,0001pf,ZVA/Z0,ZVA,12/18/2020,1,B,ZVA Monthly Dec 2020,FALSE,nickel,1,TRUE
0001pn,0001hy,ZVA/Z9,ZVA,12/20/2019,1,S,ZVA Monthly Dec 2019,FALSE,nickel,1,TRUE
0001po,,ZVA/M9:1:S - ZVA/Z0:1:B,ZVA,6/21/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0001po,0001pf,ZVA/Z0,ZVA,12/18/2020,1,B,ZVA Monthly Dec 2020,FALSE,nickel,1,TRUE
0001po,0001hn,ZVA/M9,ZVA,6/21/2019,1,S,ZVA Monthly Jun 2019,FALSE,nickel,1,TRUE
00025M,,VA/M9:1:S - VA/Z0:1:B,VA,6/21/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
00025M,00025C,VA/Z0,VA,12/18/2020,1,B,S&P 500 Variance Monthly Dec 2020,FALSE,nickel,1,FALSE
00025M,16,VA/M9,VA,6/21/2019,1,S,S&P 500 Variance Monthly Jun 2019,FALSE,nickel,1,FALSE
00025N,,VA/Z9:1:S - VA/Z0:1:B,VA,12/20/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
00025N,00025C,VA/Z0,VA,12/18/2020,1,B,S&P 500 Variance Monthly Dec 2020,FALSE,nickel,1,FALSE
00025N,00000O,VA/Z9,VA,12/20/2019,1,S,S&P 500 Variance Monthly Dec 2019,FALSE,nickel,1,FALSE
0002Qu,,VA/U9:1:S - VA/Z0:1:B,VA,9/20/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002Qu,0002Qr,VA/U9,VA,9/20/2019,1,S,S&P 500 Variance Monthly Sep 2019,FALSE,nickel,1,FALSE
0002Qu,00025C,VA/Z0,VA,12/18/2020,1,B,S&P 500 Variance Monthly Dec 2020,FALSE,nickel,1,FALSE
0002Qv,,VA/U9:1:S - VA/Z9:1:B,VA,9/20/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002Qv,0002Qr,VA/U9,VA,9/20/2019,1,S,S&P 500 Variance Monthly Sep 2019,FALSE,nickel,1,FALSE
0002Qv,00000O,VA/Z9,VA,12/20/2019,1,B,S&P 500 Variance Monthly Dec 2019,FALSE,nickel,1,FALSE
