Symbol,Product,Futures Root,Expire Date,Description,Tick Size,Contract Size,Test Symbol
00000O,VA/Z9,VA,12/20/2019,S&P 500 Variance Monthly Dec 2019,nickel,1,FALSE
00000P,VAO/Z9,VAO,12/20/2019,S&P 500 Variance Stub Monthly Dec 2019,nickel,1,FALSE
16,VA/M9,VA,6/21/2019,S&P 500 Variance Monthly Jun 2019,nickel,1,FALSE
17,VAO/M9,VAO,6/21/2019,S&P 500 Variance Stub Monthly Jun 2019,nickel,1,FALSE
0001hn,ZVA/M9,ZVA,6/21/2019,ZVA Monthly Jun 2019,nickel,1,TRUE
0001ho,ZVAO/Z9,ZVAO,12/20/2019,ZVAO Monthly Dec 2019,nickel,1,TRUE
0001hx,ZVAO/M9,ZVAO,6/21/2019,ZVAO Monthly Jun 2019,nickel,1,TRUE
0001hy,ZVA/Z9,ZVA,12/20/2019,ZVA Monthly Dec 2019,nickel,1,TRUE
0001pf,ZVA/Z0,ZVA,12/18/2020,ZVA Monthly Dec 2020,nickel,1,TRUE
0001pp,ZVAO/Z0,ZVAO,12/18/2020,ZVAO Monthly Dec 2020,nickel,1,TRUE
00025C,VA/Z0,VA,12/18/2020,S&P 500 Variance Monthly Dec 2020,nickel,1,FALSE
00025D,VAO/Z0,VAO,12/18/2020,S&P 500 Variance Stub Monthly Dec 2020,nickel,1,FALSE
0002Qr,VA/U9,VA,9/20/2019,S&P 500 Variance Monthly Sep 2019,nickel,1,FALSE
0002R4,VAO/U9,VAO,9/20/2019,S&P 500 Variance Stub Monthly Sep 2019,nickel,1,FALSE
0002R5,VA/M0,VA,6/19/2020,S&P 500 Variance Monthly Jun 2020,nickel,1,FALSE
0002RH,VAO/M0,VAO,6/19/2020,S&P 500 Variance Stub Monthly Jun 2020,nickel,1,FALSE
0002TT,ZVA/U9,ZVA,9/20/2019,ZVA Monthly Sep 2019,nickel,1,TRUE
0002Tg,ZVAO/U9,ZVAO,9/20/2019,ZVAO Monthly Sep 2019,nickel,1,TRUE
0002Th,ZVA/M0,ZVA,6/19/2020,ZVA Monthly Jun 2020,nickel,1,TRUE
0002Tt,ZVAO/M0,ZVAO,6/19/2020,ZVAO Monthly Jun 2020,nickel,1,TRUE
0002V7,VX/N9,VX,7/17/2019,VX Monthly Jul 2019,nickel,1000,FALSE
0002VL,VXT/N9,VXT,7/17/2019,VXT Monthly Jul 2019,tas_penny,1000,FALSE
0002aV,VX/K9,VX,5/22/2019,VX Monthly May 2019,nickel,1000,FALSE
0002aj,VXT/K9,VXT,5/22/2019,VXT Monthly May 2019,tas_penny,1000,FALSE
0002ct,ZVX/K9,ZVX,5/22/2019,ZVX Monthly May 2019,nickel,1000,TRUE
0002d7,ZVXT/K9,ZVXT,5/22/2019,ZVXT Monthly May 2019,tas_penny,1000,TRUE
0002fg,VX/M9,VX,6/19/2019,VX Monthly Jun 2019,nickel,1000,FALSE
0002fu,VXT/M9,VXT,6/19/2019,VXT Monthly Jun 2019,tas_penny,1000,FALSE
0002ho,ZVX/M9,ZVX,6/19/2019,ZVX Monthly Jun 2019,nickel,1000,TRUE
0002i2,ZVXT/M9,ZVXT,6/19/2019,ZVXT Monthly Jun 2019,tas_penny,1000,TRUE
0002mr,ZVX/N9,ZVX,7/17/2019,ZVX Monthly Jul 2019,nickel,1000,TRUE
0002n5,ZVXT/N9,ZVXT,7/17/2019,ZVXT Monthly Jul 2019,tas_penny,1000,TRUE
0002qF,VX/Q9,VX,8/21/2019,VX Monthly Aug 2019,nickel,1000,FALSE
0002qT,VXT/Q9,VXT,8/21/2019,VXT Monthly Aug 2019,tas_penny,1000,FALSE
0002st,ZVX/Q9,ZVX,8/21/2019,ZVX Monthly Aug 2019,nickel,1000,TRUE
0002t7,ZVXT/Q9,ZVXT,8/21/2019,ZVXT Monthly Aug 2019,tas_penny,1000,TRUE
0002vI,VX/U9,VX,9/18/2019,VX Monthly Sep 2019,nickel,1000,FALSE
0002vW,VXT/U9,VXT,9/18/2019,VXT Monthly Sep 2019,tas_penny,1000,FALSE
0002wc,VA/Z1,VA,12/17/2021,S&P 500 Variance Monthly Dec 2021,nickel,1,FALSE
0002wn,VAO/Z1,VAO,12/17/2021,S&P 500 Variance Stub Monthly Dec 2021,nickel,1,FALSE
0002y2,ZVX/U9,ZVX,9/18/2019,ZVX Monthly Sep 2019,nickel,1000,TRUE
0002yG,ZVXT/U9,ZVXT,9/18/2019,ZVXT Monthly Sep 2019,tas_penny,1000,TRUE
0002zC,VA/H0,VA,3/20/2020,S&P 500 Variance Monthly Mar 2020,nickel,1,FALSE
0002zQ,VAO/H0,VAO,3/20/2020,S&P 500 Variance Stub Monthly Mar 2020,nickel,1,FALSE
0002zc,ZVA/Z1,ZVA,12/17/2021,ZVA Monthly Dec 2021,nickel,1,TRUE
0002zn,ZVAO/Z1,ZVAO,12/17/2021,ZVAO Monthly Dec 2021,nickel,1,TRUE
308,ZVA/H0,ZVA,3/20/2020,ZVA Monthly Mar 2020,nickel,1,TRUE
00030N,ZVAO/H0,ZVAO,3/20/2020,ZVAO Monthly Mar 2020,nickel,1,TRUE
00030o,IBHY/K9,IBHY,5/1/2019,IBHY Monthly May 2019,penny,1000,FALSE
00031Y,VX/V9,VX,10/16/2019,VX Monthly Oct 2019,nickel,1000,FALSE
00031m,VXT/V9,VXT,10/16/2019,VXT Monthly Oct 2019,tas_penny,1000,FALSE
00032u,VXTY/K9,VXTY,5/22/2019,10-Year U.S. Treasury Note Monthly May 2019,penny,1000,FALSE
00032y,VA/K9,VA,5/17/2019,S&P 500 Variance Monthly May 2019,nickel,1,FALSE
339,VAO/K9,VAO,5/17/2019,S&P 500 Variance Stub Monthly May 2019,nickel,1,FALSE
00033A,XBT/K9,XBT,5/15/2019,XBT Monthly May 2019,fivedollar,1,FALSE
00033E,IBHYT/K9,IBHYT,5/1/2019,IBHYT Monthly May 2019,tas_h_peny,1000,FALSE
00033I,IBIG/K9,IBIG,5/1/2019,IBIG Monthly May 2019,penny,1000,FALSE
00033M,IBIGT/K9,IBIGT,5/1/2019,IBIGT Monthly May 2019,tas_h_peny,1000,FALSE
00034K,ZVX/V9,ZVX,10/16/2019,ZVX Monthly Oct 2019,nickel,1000,TRUE
00034Y,ZVXT/V9,ZVXT,10/16/2019,ZVXT Monthly Oct 2019,tas_penny,1000,TRUE
00035g,ZVXTY/K9,ZVXTY,5/22/2019,ZVXTY Monthly May 2019,penny,1000,TRUE
00035k,ZVA/K9,ZVA,5/17/2019,ZVA Monthly May 2019,nickel,1,TRUE
00035w,ZVAO/K9,ZVAO,5/17/2019,ZVAO Monthly May 2019,nickel,1,TRUE
00035x,ZXBT/K9,ZXBT,5/15/2019,ZXBT Monthly May 2019,fivedollar,1,TRUE
361,ZIBHY/K9,ZIBHY,5/1/2019,ZIBHY Monthly May 2019,penny,1000,TRUE
365,ZIBHYT/K9,ZIBHYT,5/1/2019,ZIBHYT Monthly May 2019,tas_h_peny,1000,TRUE
369,ZIBIG/K9,ZIBIG,5/1/2019,ZIBIG Monthly May 2019,penny,1000,TRUE
00036D,ZIBIGT/K9,ZIBIGT,5/1/2019,ZIBIGT Monthly May 2019,tas_h_peny,1000,TRUE
00036t,VX/X9,VX,11/20/2019,VX Monthly Nov 2019,nickel,1000,FALSE
377,VXT/X9,VXT,11/20/2019,VXT Monthly Nov 2019,tas_penny,1000,FALSE
00038F,VXTY/M9,VXTY,6/26/2019,10-Year U.S. Treasury Note Monthly Jun 2019,penny,1000,FALSE
00038J,XBT/M9,XBT,6/19/2019,XBT Monthly Jun 2019,fivedollar,1,FALSE
00038N,IBHY/M9,IBHY,6/3/2019,IBHY Monthly Jun 2019,penny,1000,FALSE
00038R,IBHYT/M9,IBHYT,6/3/2019,IBHYT Monthly Jun 2019,tas_h_peny,1000,FALSE
00038V,IBIG/M9,IBIG,6/3/2019,IBIG Monthly Jun 2019,penny,1000,FALSE
00038Z,IBIGT/M9,IBIGT,6/3/2019,IBIGT Monthly Jun 2019,tas_h_peny,1000,FALSE
395,ZVX/X9,ZVX,11/20/2019,ZVX Monthly Nov 2019,nickel,1000,TRUE
00039J,ZVXT/X9,ZVXT,11/20/2019,ZVXT Monthly Nov 2019,tas_penny,1000,TRUE
0003AR,ZVXTY/M9,ZVXTY,6/26/2019,ZVXTY Monthly Jun 2019,penny,1000,TRUE
0003AV,ZXBT/M9,ZXBT,6/19/2019,ZXBT Monthly Jun 2019,fivedollar,1,TRUE
0003AZ,ZIBHY/M9,ZIBHY,6/3/2019,ZIBHY Monthly Jun 2019,penny,1000,TRUE
0003Ad,ZIBHYT/M9,ZIBHYT,6/3/2019,ZIBHYT Monthly Jun 2019,tas_h_peny,1000,TRUE
0003Ah,ZIBIG/M9,ZIBIG,6/3/2019,ZIBIG Monthly Jun 2019,penny,1000,TRUE
0003Al,ZIBIGT/M9,ZIBIGT,6/3/2019,ZIBIGT Monthly Jun 2019,tas_h_peny,1000,TRUE
0003Az,VA/N9,VA,7/19/2019,S&P 500 Variance Monthly Jul 2019,nickel,1,FALSE
0003BA,VAO/N9,VAO,7/19/2019,S&P 500 Variance Stub Monthly Jul 2019,nickel,1,FALSE
0003BB,VA/Q9,VA,8/16/2019,S&P 500 Variance Monthly Aug 2019,nickel,1,FALSE
0003BN,VAO/Q9,VAO,8/16/2019,S&P 500 Variance Stub Monthly Aug 2019,nickel,1,FALSE
0003BO,ZVA/N9,ZVA,7/19/2019,ZVA Monthly Jul 2019,nickel,1,TRUE
0003Ba,ZVAO/N9,ZVAO,7/19/2019,ZVAO Monthly Jul 2019,nickel,1,TRUE
0003Bb,ZVA/Q9,ZVA,8/16/2019,ZVA Monthly Aug 2019,nickel,1,TRUE
0003Bo,ZVAO/Q9,ZVAO,8/16/2019,ZVAO Monthly Aug 2019,nickel,1,TRUE
0003CH,VX18/K9,VX,5/1/2019,"VX Weekly May 1, 2019",nickel,1000,FALSE
0003CV,VXT18/K9,VXT,5/1/2019,"VXT Weekly May 1, 2019",tas_penny,1000,FALSE
0003Cj,VX/Z9,VX,12/18/2019,VX Monthly Dec 2019,nickel,1000,FALSE
0003Cx,VXT/Z9,VXT,12/18/2019,VXT Monthly Dec 2019,tas_penny,1000,FALSE
0003DB,VX19/K9,VX,5/8/2019,"VX Weekly May 8, 2019",nickel,1000,FALSE
0003DP,VXT19/K9,VXT,5/8/2019,"VXT Weekly May 8, 2019",tas_penny,1000,FALSE
0003Dd,VXTY/N9,VXTY,7/24/2019,10-Year U.S. Treasury Note Monthly Jul 2019,penny,1000,FALSE
0003Dl,IBHY/N9,IBHY,7/1/2019,IBHY Monthly Jul 2019,penny,1000,FALSE
0003Dp,IBHYT/N9,IBHYT,7/1/2019,IBHYT Monthly Jul 2019,tas_h_peny,1000,FALSE
0003Dt,IBIG/N9,IBIG,7/1/2019,IBIG Monthly Jul 2019,penny,1000,FALSE
0003Dx,IBIGT/N9,IBIGT,7/1/2019,IBIGT Monthly Jul 2019,tas_h_peny,1000,FALSE
0003ET,ZVX18/K9,ZVX,5/1/2019,"ZVX Weekly May 1, 2019",nickel,1000,TRUE
0003Eh,ZVXT18/K9,ZVXT,5/1/2019,"ZVXT Weekly May 1, 2019",tas_penny,1000,TRUE
0003Ev,ZVX/Z9,ZVX,12/18/2019,ZVX Monthly Dec 2019,nickel,1000,TRUE
0003F9,ZVXT/Z9,ZVXT,12/18/2019,ZVXT Monthly Dec 2019,tas_penny,1000,TRUE
0003FN,ZVX19/K9,ZVX,5/8/2019,"ZVX Weekly May 8, 2019",nickel,1000,TRUE
